=== 启动 2026-07-21 14:49:42 ===
__file__ = d:\DATA\Documents\New project\utils.py
sys.executable = D:\APPS\conda\python.exe
sys.frozen = False
BASE_DIR = d:\DATA\Documents\New project
LOG_PATH = d:\DATA\Documents\New project\hsr_relic_scorer.log
STATS_LOG_PATH = d:\DATA\Documents\New project\hsr_relic_stats.log
cwd = D:\DATA\Documents\New project
[2026-07-21 14:49:53] [多遗器] 进入记录模式
[2026-07-21 14:49:54] [角色] 姬子 | HP=1972.0+0.0 ATK=1391.0+389.0 DEF=1014.0+0.0 SPD=98.0 暴击=17.0% 爆伤=50.0% 伤害源=攻击力
[2026-07-21 14:49:54]   有效副词条: 攻击力 攻击力% 速度 暴击率 暴击伤害 属性加伤
[2026-07-21 14:49:54]   队友拐: 攻击力%=45+12 暴击伤害%=81.2
[2026-07-21 14:49:54]   自拐: 攻击力%=12 暴击率%=8 暴击伤害%=80+100+32
[2026-07-21 14:50:29] [多遗器] 最优组合 总分=234.85 DPS=26837
=== 最优组合 ===
总评分: 234.85
期望伤害: 26837

遗器清单：
  [头部] 生命值705 | 攻击力%3.8% 暴击率13.6% 效果命中3.8% 击破特攻5.1% | 件均分=33.4
  [手部] 攻击力352 | 生命值42 生命值%3.8% 攻击力%22.8% 暴击伤害5.8% | 件均分=15.6
  [躯干] 暴击率32.4% | 防御力19 暴击伤害22.6% 击破特攻11.6% 效果抵抗3.4% | 件均分=15.6
  [脚部] 攻击力%43.2% | 防御力%4.8% 暴击率8.7% 暴击伤害18.1% 效果命中4.3% | 件均分=35.6
  [位面球] 攻击力%43.2% | 暴击率8.4% 暴击伤害10.3% 击破特攻6.4% 攻击力38 | 件均分=34.2
  [连结绳] 攻击力%43.2% | 攻击力55 生命值%3.4% 暴击率9% 暴击伤害12.9% | 件均分=38.6
[2026-07-21 14:51:03] [遗器·同] 头部 主:生命值705 | 攻击力%3.8%=2.9 暴击率13.6%=32.5 | 总分=35.35 [S]
[2026-07-21 14:51:05] [遗器·同] 手部 主:攻击力352 | 攻击力%22.8%=33.3 暴击伤害5.8%=6.3 | 总分=39.66 [S]
[2026-07-21 14:51:06] [遗器·同] 躯干 主:暴击率32.4% | 暴击伤害22.6%=24.9 | 总分=24.88 [A]
[2026-07-21 14:51:08] [遗器] 脚部 主:攻击力%43.2% | 暴击率8.7%=34.6 暴击伤害18.1%=16.9 | 总分=51.46 [SSS]
[2026-07-21 14:51:10] [遗器·同] 位面球 主:攻击力%43.2% | 暴击率8.4%=33.6 暴击伤害10.3%=9.7 攻击力38=3.4 | 总分=46.80 [SS]
[2026-07-21 14:51:11] [遗器·同] 连结绳 主:攻击力%43.2% | 攻击力55=4.9 暴击率9%=35.4 暴击伤害12.9%=11.9 | 总分=52.17 [SSS]
[2026-07-21 14:51:14] [遗器] 连结绳 主:攻击力%6.9% |  | 总分=0.00
[2026-07-21 14:51:15] [遗器] 连结绳 主:攻击力%43.2% | 攻击力55=4.9 暴击率9%=35.4 暴击伤害12.9%=11.9 | 总分=52.17 [SSS]
[2026-07-21 14:53:18] [遗器·同] 手部 主:攻击力352 | 攻击力%22.8%=33.3 暴击伤害5.8%=6.3 | 总分=39.66 [S]
[2026-07-21 14:53:20] [遗器·同] 头部 主:生命值705 | 攻击力%3.8%=2.9 暴击率13.6%=32.5 | 总分=35.35 [S]
[2026-07-21 14:53:23] [遗器·同] 躯干 主:暴击率32.4% | 暴击伤害22.6%=24.9 | 总分=24.88 [A]
[2026-07-21 14:53:25] [遗器·同] 脚部 主:攻击力%43.2% | 暴击率8.7%=34.6 暴击伤害18.1%=16.9 | 总分=51.46 [SSS]
[2026-07-21 14:53:26] [遗器·同] 位面球 主:攻击力%43.2% | 暴击率8.4%=33.6 暴击伤害10.3%=9.7 攻击力38=3.4 | 总分=46.80 [SS]
[2026-07-21 14:53:27] [遗器·同] 连结绳 主:攻击力%43.2% | 攻击力55=4.9 暴击率9%=35.4 暴击伤害12.9%=11.9 | 总分=52.17 [SSS]
